"rgi_id","o1region","o2region","glims_id","anlys_id","subm_id","src_date","cenlon","cenlat","utm_zone","area_km2","primeclass","conn_lvl","surge_type","term_type","glac_name","is_rgi6","termlon","termlat","zmin_m","zmax_m","zmed_m","zmean_m","slope_deg","aspect_deg","aspect_sec","dem_source","lmax_m"
"RGI2000-v7.0-G-01-04191","01","01-02","G206240E61933N",393603,624,"2010-09-12T00:00:00",-153.75368457316085,61.9377075,5,2.717707504170481,0,0,0,9,"",1,-153.74320074346343,61.95287843950863,1343.4,2001.1375,1795.3843,1742.9364,14.047992,8.413894,1,"COPDEM30",3576
"RGI2000-v7.0-G-01-04192","01","01-02","G206221E61946N",393582,624,"2010-09-12T00:00:00",-153.77923608822022,61.9466325,5,0.084937912510416,0,0,0,9,"",1,-153.77911067893345,61.948391889901046,1578.913,1827.5056,1688.037,1690.9476,30.005959,343.5853385925293,1,"COPDEM30",472
"RGI2000-v7.0-G-01-04193","01","01-02","G206214E61938N",393572,624,"2010-09-12T00:00:00",-153.7857853372846,61.9388255,5,0.845247211697115,0,0,0,9,"",1,-153.79205997433803,61.945769395019994,1525.1926,2051.8987,1703.8362,1718.2034,19.32579,346.08247566223145,1,"COPDEM30",1733
"RGI2000-v7.0-G-01-04194","01","01-02","G206066E61745N",393380,624,"2010-09-12T00:00:00",-153.93486149002453,61.7444955,5,0.10138647743407,0,0,0,9,"",1,-153.9363578167926,61.74571496986145,1966.1492,2209.1943,2112.9834,2116.3777,34.7714,298.6581001281738,8,"COPDEM30",301
"RGI2000-v7.0-G-01-04195","01","01-02","G206060E61742N",393372,624,"2010-09-12T00:00:00",-153.93803962717473,61.7426515,5,0.186921901231707,0,0,0,9,"",1,-153.94401706840856,61.74496648918928,1679.6971,2213.4392,2041.6328,2023.3368,42.39417,317.0936889648437,8,"COPDEM30",666
"RGI2000-v7.0-G-01-04196","01","01-02","G208323E62596N",396635,624,"2010-09-12T00:00:00",-151.67528156815303,62.5969615,5,0.353508013158895,0,0,0,9,"",1,-151.68307854254843,62.596008954408575,1321.8137,1513.5176,1410.8054,1411.9546,20.362417,307.3715400695801,8,"COPDEM30",490
"RGI2000-v7.0-G-01-04197","01","01-02","G208339E62601N",396638,624,"2010-09-12T00:00:00",-151.66115104071662,62.6016395,5,0.071173641627345,0,0,0,9,"",1,-151.66705674496265,62.60283644006392,1306.1771,1533.207,1413.8411,1423.4972,21.443865,307.44803619384766,8,"COPDEM30",653
"RGI2000-v7.0-G-01-04198","01","01-02","G208362E62611N",396639,624,"2010-09-12T00:00:00",-151.63761511444054,62.611187,5,0.082225853484832,0,0,0,9,"",1,-151.64165981504374,62.610669339616294,1351.7821,1467.55,1409.0728,1408.3218,20.968584,298.3484878540039,8,"COPDEM30",427
"RGI2000-v7.0-G-01-04199","01","01-02","G208380E62615N",396646,624,"2010-09-12T00:00:00",-151.62044843187357,62.615618,5,0.117294573474298,0,0,0,9,"",1,-151.61815116678773,62.6181370486468,1377.4832,1598.5176,1498.9417,1495.1385,19.711859,8.492449,1,"COPDEM30",603
"RGI2000-v7.0-G-01-04200","01","01-02","G208372E62620N",396642,624,"2010-09-12T00:00:00",-151.62788195923912,62.620574500000004,5,0.123145009175852,0,0,0,9,"",1,-151.6297092489528,62.62314762878197,1317.4786,1508.6849,1425.5177,1420.1115,23.014874,314.62641525268555,8,"COPDEM30",693
